question,answer,tags
"What are the admission requirements?","Admission requires completion of secondary education, application form, transcripts, and any program-specific requirements.","admissions"
"How do I apply to the university?","You can apply online through the university admissions portal by creating an account and submitting your documents.","admissions"
"What is the application deadline?","Most undergraduate applications close on March 31, while postgraduate deadlines vary by department.","admissions"
"How much is the application fee?","The application fee is typically $50 for domestic students and $75 for international students.","admissions"
"Does the university accept international students?","Yes, international students are welcome and must meet English language proficiency requirements.","admissions"
"What English tests are accepted?","We accept IELTS, TOEFL, PTE, and Duolingo English Test scores.","admissions"
"What GPA is required for admission?","A minimum GPA of 3.0 is recommended, but requirements vary by major.","admissions"
"How can I check my application status?","Log into the admissions portal and navigate to the 'Application Status' page.","admissions"
"Can I defer my admission?","Yes, admitted students may request a one-year deferral with a valid reason.","admissions"

"What is the tuition fee?","Tuition ranges from $6,000–$12,000 per semester depending on the program.","tuition"
"How can I pay my tuition?","Tuition can be paid online through the student portal or at the finance office.","tuition"
"Do you offer payment plans?","Yes, students can split tuition into monthly installments.","tuition"
"What additional fees should I expect?","Students should expect lab fees, student service fees, and technology fees.","tuition"
"What are the refund policies?","Refunds depend on the withdrawal date according to the academic calendar.","tuition"

"Are scholarships available?","Yes, the university offers merit-based, need-based, and athletic scholarships.","scholarships"
"How do I apply for scholarships?","Submit the scholarship application form along with supporting documents via the financial aid portal.","scholarships"
"When is the scholarship deadline?","Scholarship applications close on April 15.","scholarships"
"Are international students eligible for scholarships?","Yes, selected merit scholarships are available for international students.","scholarships"

"Do you offer on-campus housing?","Yes, we offer residence halls, shared apartments, and single rooms.","housing"
"How much does campus housing cost?","Housing ranges from $2,000–$4,500 per semester depending on the room type.","housing"
"How do I apply for housing?","Students must complete the housing application through the housing portal.","housing"
"Are meal plans available?","Yes, meal plans include unlimited dining, weekly meals, and pay-as-you-go options.","housing"
"Can first-year students live off-campus?","First-year students are strongly encouraged to live on campus but may request exceptions.","housing"

"What programs does the university offer?","We offer over 150 undergraduate and graduate programs across multiple faculties.","academics"
"How do I register for classes?","Students register through the online student portal during the enrollment period.","academics"
"Where can I find the academic calendar?","The academic calendar is available on the university website under 'Academics'.","academics"
"What is the grading system?","We use a 4.0 GPA scale with letter grades from A+ to F.","academics"
"Can I change my major?","Yes, students can request a major change by submitting a form through the registrar.","academics"

"Does the university have a library?","Yes, the library offers digital resources, study rooms, and research support.","campus"
"How do I access online journals?","Students can log into the library portal using their university credentials.","campus"
"Is free Wi-Fi available on campus?","Yes, campus-wide Wi-Fi is provided for all students.","campus"
"What student clubs are available?","Over 80 clubs including academic, cultural, and sports organizations are available.","campus"
"What sports facilities are available?","Facilities include a gym, swimming pool, courts, and athletic fields.","campus"

"How do I get a student ID card?","Visit the student services center after completing enrollment.","services"
"Where can I get a transcript?","Official transcripts can be requested through the registrar’s office or online.","services"
"How do I reset my portal password?","Use the 'Forgot Password' option on the login screen to reset it.","services"
"What health services are available?","The campus clinic provides medical consultations, vaccinations, and counseling.","services"
"Is there a career center?","Yes, the career center offers job advising, resume workshops, and internship placements.","services"

"How do international students apply for a visa?","After receiving admission, students receive an acceptance letter to start the visa application process.","international"
"Is airport pickup available for new students?","Yes, free airport pickup is offered during orientation week.","international"
"Do you offer orientation programs?","Yes, orientation week includes campus tours, workshops, and student organization fairs.","orientation"
"What transportation options are available?","Campus shuttle buses operate daily, and discounted city bus passes are available.","campus"

"How do I contact admissions?","You can contact admissions at admissions@university.edu or call (555) 123-4567.","contact"
"How do I contact housing services?","Email housing@university.edu or visit the housing office, Room 210.","contact"
"Where is the university located?","We are located at 123 University Avenue, City, Country.","general"
"What are the office hours?","Most offices operate from 8:00 AM to 4:30 PM, Monday to Friday.","general"
